Create DateTime,User Id,Transaction Type,Transaction Code,Transaction Description,LPN,Item Name,From Location,To Location,Task Id,Pallet Id,From LPN,NBR_UNITS (CS),Order/ASN,Order #,Lot Code
"Oct 31, 2024 7:22:57 AM",179710,800,002,Load trailer/ oLPN,00100250003447451046,281582,,,,,,112,0405883529,0405883529,0013268156
"Oct 31, 2024 7:22:57 AM",179710,800,002,Load trailer/ oLPN,00100250003447896717,281587,,,,,,112,0405883529,0405883529,0013268154
"Oct 31, 2024 7:27:14 AM",167827,800,002,Load trailer/ oLPN,00100250010000728811,289482,,,,,,100,0405877816,0405877816,FA24235-2
"Oct 31, 2024 7:27:14 AM",167827,800,002,Load trailer/ oLPN,00100250010000867954,289483,,,,,,100,0405877816,0405877816,FA24275-2
"Oct 31, 2024 7:27:18 AM",173014,800,002,Load trailer/ oLPN,00100250003449818076,370685,,,,,,90,0405869713,0405869713,0013264168
"Oct 31, 2024 7:27:18 AM",173014,800,002,Load trailer/ oLPN,00100250010000728637,289482,,,,,,100,0405869713,0405869713,FA24235-2
"Oct 31, 2024 7:32:25 AM",175177,800,002,Load trailer/ oLPN,00100250010001089126,412538,,,,,,100,0405884377,0405884377,JAN0625D
"Oct 31, 2024 7:32:25 AM",175177,800,002,Load trailer/ oLPN,00100250010001090856,413075,,,,,,100,0405884377,0405884377,DEC1624E
"Oct 31, 2024 7:34:22 AM",176848,800,002,Load trailer/ oLPN,00100250003459659201,411871,,,,,,90,0405881376,0405881376,0013269846
"Oct 31, 2024 7:34:22 AM",176848,800,002,Load trailer/ oLPN,00100250003460369816,369588,,,,,,90,0405881376,0405881376,0013264390
"Oct 31, 2024 7:36:20 AM",178260,800,002,Load trailer/ oLPN,00100250010001309187,369590,,,,,,90,0405883387,0405883387,DEC2824SI3
"Oct 31, 2024 7:36:20 AM",178260,800,002,Load trailer/ oLPN,00100250010001309194,369590,,,,,,90,0405883387,0405883387,DEC2824SI3
"Oct 31, 2024 7:39:29 AM",175177,800,002,Load trailer/ oLPN,00100250003460418552,369592,,,,,,90,0405884377,0405884377,0013266167
"Oct 31, 2024 7:39:29 AM",175177,800,002,Load trailer/ oLPN,00100250010001094106,412537,,,,,,100,0405884377,0405884377,DEC1624G
"Oct 31, 2024 7:41:51 AM",176848,800,002,Load trailer/ oLPN,00100250003447450377,411982,,,,,,55,0405881376,0405881376,0013267299
"Oct 31, 2024 7:41:51 AM",176848,800,002,Load trailer/ oLPN,00100250003459876394,369595,,,,,,90,0405881376,0405881376,0013267039
"Oct 31, 2024 7:42:26 AM",173014,800,002,Load trailer/ oLPN,00100250003460419245,369592,,,,,,90,0405884893,0405884893,0013266167
"Oct 31, 2024 7:42:26 AM",173014,800,002,Load trailer/ oLPN,00100250003460419337,369592,,,,,,90,0405884893,0405884893,0013266167
"Oct 31, 2024 7:42:51 AM",180183,800,002,Load trailer/ oLPN,00100250003459658723,411871,,,,,,90,0405883955,0405883955,0013269846
"Oct 31, 2024 7:42:51 AM",180183,800,002,Load trailer/ oLPN,00100250010001309125,369590,,,,,,90,0405883955,0405883955,DEC2824SI3
"Oct 31, 2024 7:43:49 AM",175087,800,002,Load trailer/ oLPN,00100250003459658549,411871,,,,,,90,0405884313,0405884313,0013269846
"Oct 31, 2024 7:43:49 AM",175087,800,002,Load trailer/ oLPN,00100250010001308982,369590,,,,,,90,0405884313,0405884313,DEC2824SI3
